         0
         2
         2
         2
        32        110
  1   1   1   1   0 11   -9.5364666e+00
  1   1   1   4   0 11   -4.5118737e+00
  1   1   2   2   0 11   +2.6049314e+00
  1   1   3   3   0 11   +3.6839294e+00
  1   4   1   4   0 11   -7.9135857e+00
  1   4   2   2   0 11   -9.3697077e-01
  1   4   3   3   0 11   -1.3250767e+00
  2   2   2   2   0 11   +8.4453836e-02
  2   2   3   3   0 11   -5.6554680e+00
  3   3   3   3   0 11   -3.9145660e+00
  1   2   1   2   0 11   +1.5269200e+00
  1   4   1   4   2 11   +2.6970908e-01
  1   4   1   5   2 11   +1.4244465e+00
  1   4   2   3   2 11   -2.5648034e+00
  1   5   1   5   2 11   +2.4866807e+00
  1   5   2   3   2 11   -4.1664150e-01
  2   3   2   3   2 11   +5.8401179e-01
  1   2   1   2   2 11   -4.5650643e-01
  1   2   1   3   2 11   -6.4205012e+00
  1   3   1   3   2 11   -4.9964867e+00
  1   5   1   5   4 11   -5.1608205e-01
  1   5   1   6   4 11   -3.6879385e+00
  1   5   2   3   4 11   +1.0953062e+00
  1   5   3   3   4 11   -3.3844504e+00
  1   6   1   6   4 11   -2.0216765e+00
  1   6   2   3   4 11   +3.8528981e+00
  1   6   3   3   4 11   -5.9339350e-01
  2   3   2   3   4 11   -3.5824521e+00
  2   3   3   3   4 11   +2.0511942e+00
  3   3   3   3   4 11   -2.1320388e+00
  1   3   1   3   4 11   -2.2699919e+00
  1   6   1   6   6 11   -2.2699916e+00
  1   1   1   1   0 22   -9.5364666e+00
  1   1   1   4   0 22   -4.5118737e+00
  1   1   2   2   0 22   +2.6049314e+00
  1   1   3   3   0 22   +3.6839294e+00
  1   4   1   4   0 22   -7.9135857e+00
  1   4   2   2   0 22   -9.3697077e-01
  1   4   3   3   0 22   -1.3250767e+00
  2   2   2   2   0 22   +8.4453836e-02
  2   2   3   3   0 22   -5.6554680e+00
  3   3   3   3   0 22   -3.9145660e+00
  1   2   1   2   0 22   +1.5269200e+00
  1   4   1   4   2 22   +2.6970908e-01
  1   4   1   5   2 22   +1.4244465e+00
  1   4   2   3   2 22   -2.5648034e+00
  1   5   1   5   2 22   +2.4866807e+00
  1   5   2   3   2 22   -4.1664150e-01
  2   3   2   3   2 22   +5.8401179e-01
  1   2   1   2   2 22   -4.5650643e-01
  1   2   1   3   2 22   -6.4205012e+00
  1   3   1   3   2 22   -4.9964867e+00
  1   5   1   5   4 22   -5.1608205e-01
  1   5   1   6   4 22   -3.6879385e+00
  1   5   2   3   4 22   +1.0953062e+00
  1   5   3   3   4 22   -3.3844504e+00
  1   6   1   6   4 22   -2.0216765e+00
  1   6   2   3   4 22   +3.8528981e+00
  1   6   3   3   4 22   -5.9339350e-01
  2   3   2   3   4 22   -3.5824521e+00
  2   3   3   3   4 22   +2.0511942e+00
  3   3   3   3   4 22   -2.1320388e+00
  1   3   1   3   4 22   -2.2699919e+00
  1   6   1   6   6 22   -2.2699916e+00
  1   1   1   1   0 12   -9.5364666e+00
  1   1   1   4   0 12   -3.1903765e+00
  1   1   2   2   0 12   +2.6049314e+00
  1   1   3   3   0 12   +3.6839294e+00
  1   1   4   1   0 12   -3.1903765e+00
  1   4   1   4   0 12   +8.5520023e-01
  1   4   2   2   0 12   -6.6253835e-01
  1   4   3   3   0 12   -9.3697071e-01
  1   4   4   1   0 12   -8.7687855e+00
  2   2   2   2   0 12   +8.4453836e-02
  2   2   3   3   0 12   -5.6554680e+00
  2   2   4   1   0 12   -6.6253835e-01
  3   3   3   3   0 12   -3.9145660e+00
  3   3   4   1   0 12   -9.3697071e-01
  4   1   4   1   0 12   +8.5520023e-01
  1   2   1   2   0 12   -5.5151238e+00
  1   2   2   1   0 12   +7.0420442e+00
  2   1   2   1   0 12   -5.5151238e+00
  1   1   1   1   2 12   -1.2557170e+01
  1   1   1   4   2 12   -4.5630274e+00
