     15200
6 6
   1   0   0   1   1   0.00000000
   2   0   1   1   1   1.00000000
   3   0   1   3   1   1.00000000
   4   1   0   1   1   2.00000000
   5   0   2   3   1   2.00000000
   6   0   2   5   1   2.00000000
   7   0   0   1  -1   0.00000000
   8   0   1   1  -1   1.00000000
   9   0   1   3  -1   1.00000000
  10   1   0   1  -1   2.00000000
  11   0   2   3  -1   2.00000000
  12   0   2   5  -1   2.00000000
0 0 1
2.000000e+00 2.000000e+00 2.000000e+00
90 90 0
  1   1   1   7   0   0   -1.0000000e+00
  1   1   1  10   0   0   +0.0000000e+00
  1   1   2   8   0   0   +0.0000000e+00
  1   1   3   9   0   0   +0.0000000e+00
  1   1   4   7   0   0   +0.0000000e+00
  1   4   1   7   0   0   +0.0000000e+00
  1   4   1  10   0   0   -7.0710677e-01
  1   4   2   8   0   0   +0.0000000e+00
  1   4   3   9   0   0   +0.0000000e+00
  1   4   4   7   0   0   -7.0710677e-01
  2   2   1   7   0   0   +0.0000000e+00
  2   2   1  10   0   0   +0.0000000e+00
  2   2   2   8   0   0   -1.0000000e+00
  2   2   3   9   0   0   +0.0000000e+00
  2   2   4   7   0   0   +0.0000000e+00
  3   3   1   7   0   0   +0.0000000e+00
  3   3   1  10   0   0   +0.0000000e+00
  3   3   2   8   0   0   +0.0000000e+00
  3   3   3   9   0   0   -1.0000000e+00
  3   3   4   7   0   0   +0.0000000e+00
  1   2   1   8   0   0   -7.0710677e-01
  1   2   2   7   0   0   -7.0710677e-01
  1   4   1   7   2   2   +0.0000000e+00
  1   4   1  10   2   2   -7.0710677e-01
  1   4   1  11   2   2   +0.0000000e+00
  1   4   2   8   2   2   +0.0000000e+00
  1   4   2   9   2   2   +0.0000000e+00
  1   4   3   8   2   2   +0.0000000e+00
  1   4   3   9   2   2   +0.0000000e+00
  1   4   4   7   2   2   +7.0710677e-01
  1   4   5   7   2   2   +0.0000000e+00
  1   5   1   7   2   2   +0.0000000e+00
  1   5   1  10   2   2   +0.0000000e+00
  1   5   1  11   2   2   -7.0710677e-01
  1   5   2   8   2   2   +0.0000000e+00
  1   5   2   9   2   2   +0.0000000e+00
  1   5   3   8   2   2   +0.0000000e+00
  1   5   3   9   2   2   +0.0000000e+00
  1   5   4   7   2   2   +0.0000000e+00
  1   5   5   7   2   2   -7.0710677e-01
  2   3   1   7   2   2   +0.0000000e+00
  2   3   1  10   2   2   +0.0000000e+00
  2   3   1  11   2   2   +0.0000000e+00
  2   3   2   8   2   2   +0.0000000e+00
  2   3   2   9   2   2   -7.0710677e-01
  2   3   3   8   2   2   -7.0710677e-01
  2   3   3   9   2   2   +0.0000000e+00
  2   3   4   7   2   2   +0.0000000e+00
  2   3   5   7   2   2   +0.0000000e+00
  1   2   1   8   2   2   -7.0710677e-01
  1   2   1   9   2   2   +0.0000000e+00
  1   2   2   7   2   2   +7.0710677e-01
  1   2   3   7   2   2   +0.0000000e+00
  1   3   1   8   2   2   +0.0000000e+00
  1   3   1   9   2   2   -7.0710677e-01
  1   3   2   7   2   2   +0.0000000e+00
  1   3   3   7   2   2   -7.0710677e-01
  1   5   1  11   4   4   -7.0710677e-01
  1   5   1  12   4   4   +0.0000000e+00
  1   5   2   9   4   4   +0.0000000e+00
  1   5   3   8   4   4   +0.0000000e+00
  1   5   3   9   4   4   +0.0000000e+00
  1   5   5   7   4   4   +7.0710677e-01
  1   5   6   7   4   4   +0.0000000e+00
  1   6   1  11   4   4   +0.0000000e+00
  1   6   1  12   4   4   -7.0710677e-01
  1   6   2   9   4   4   +0.0000000e+00
  1   6   3   8   4   4   +0.0000000e+00
  1   6   3   9   4   4   +0.0000000e+00
  1   6   5   7   4   4   +0.0000000e+00
  1   6   6   7   4   4   -7.0710677e-01
  2   3   1  11   4   4   +0.0000000e+00
  2   3   1  12   4   4   +0.0000000e+00
  2   3   2   9   4   4   -7.0710677e-01
  2   3   3   8   4   4   +7.0710677e-01
  2   3   3   9   4   4   +0.0000000e+00
  2   3   5   7   4   4   +0.0000000e+00
  2   3   6   7   4   4   +0.0000000e+00
  3   3   1  11   4   4   +0.0000000e+00
  3   3   1  12   4   4   +0.0000000e+00
  3   3   2   9   4   4   +0.0000000e+00
  3   3   3   8   4   4   +0.0000000e+00
  3   3   3   9   4   4   -1.0000000e+00
  3   3   5   7   4   4   +0.0000000e+00
  3   3   6   7   4   4   +0.0000000e+00
  1   3   1   9   4   4   -7.0710677e-01
  1   3   3   7   4   4   +7.0710677e-01
  1   6   1  12   6   6   -7.0710677e-01
  1   6   3   9   6   6   +0.0000000e+00
  1   6   6   7   6   6   +7.0710677e-01
  1   7   7   7   0   0   -1.0000000e+00
  1   7   7  10   0   0   +0.0000000e+00
  1   7   8   8   0   0   +0.0000000e+00
  1   7   9   9   0   0   +0.0000000e+00
  1  10   7   7   0   0   +0.0000000e+00
  1  10   7  10   0   0   -7.0710677e-01
  1  10   8   8   0   0   +0.0000000e+00
  1  10   9   9   0   0   +0.0000000e+00
  2   8   7   7   0   0   +0.0000000e+00
  2   8   7  10   0   0   +0.0000000e+00
  2   8   8   8   0   0   -1.0000000e+00
  2   8   9   9   0   0   +0.0000000e+00
  3   9   7   7   0   0   +0.0000000e+00
  3   9   7  10   0   0   +0.0000000e+00
  3   9   8   8   0   0   +0.0000000e+00
  3   9   9   9   0   0   -1.0000000e+00
  4   7   7   7   0   0   +0.0000000e+00
  4   7   7  10   0   0   -7.0710677e-01
  4   7   8   8   0   0   +0.0000000e+00
  4   7   9   9   0   0   +0.0000000e+00
  1   8   7   8   0   0   -7.0710677e-01
  2   7   7   8   0   0   -7.0710677e-01
  1   7   7  10   2   2   +0.0000000e+00
  1   7   7  11   2   2   +0.0000000e+00
  1   7   8   9   2   2   +0.0000000e+00
  1  10   7  10   2   2   -7.0710677e-01
  1  10   7  11   2   2   +0.0000000e+00
  1  10   8   9   2   2   +0.0000000e+00
  1  11   7  10   2   2   +0.0000000e+00
  1  11   7  11   2   2   -7.0710677e-01
  1  11   8   9   2   2   +0.0000000e+00
  2   8   7  10   2   2   +0.0000000e+00
  2   8   7  11   2   2   +0.0000000e+00
  2   8   8   9   2   2   +0.0000000e+00
  2   9   7  10   2   2   +0.0000000e+00
  2   9   7  11   2   2   +0.0000000e+00
  2   9   8   9   2   2   -7.0710677e-01
  3   8   7  10   2   2   +0.0000000e+00
  3   8   7  11   2   2   +0.0000000e+00
  3   8   8   9   2   2   -7.0710677e-01
  3   9   7  10   2   2   +0.0000000e+00
  3   9   7  11   2   2   +0.0000000e+00
  3   9   8   9   2   2   +0.0000000e+00
  4   7   7  10   2   2   +7.0710677e-01
  4   7   7  11   2   2   +0.0000000e+00
  4   7   8   9   2   2   +0.0000000e+00
  5   7   7  10   2   2   +0.0000000e+00
  5   7   7  11   2   2   -7.0710677e-01
  5   7   8   9   2   2   +0.0000000e+00
  1   8   7   8   2   2   -7.0710677e-01
  1   8   7   9   2   2   +0.0000000e+00
  1   9   7   8   2   2   +0.0000000e+00
  1   9   7   9   2   2   -7.0710677e-01
  2   7   7   8   2   2   +7.0710677e-01
  2   7   7   9   2   2   +0.0000000e+00
  3   7   7   8   2   2   +0.0000000e+00
  3   7   7   9   2   2   -7.0710677e-01
  1  11   7  11   4   4   -7.0710677e-01
  1  11   7  12   4   4   +0.0000000e+00
  1  11   8   9   4   4   +0.0000000e+00
  1  11   9   9   4   4   +0.0000000e+00
  1  12   7  11   4   4   +0.0000000e+00
  1  12   7  12   4   4   -7.0710677e-01
  1  12   8   9   4   4   +0.0000000e+00
  1  12   9   9   4   4   +0.0000000e+00
  2   9   7  11   4   4   +0.0000000e+00
  2   9   7  12   4   4   +0.0000000e+00
  2   9   8   9   4   4   -7.0710677e-01
  2   9   9   9   4   4   +0.0000000e+00
  3   8   7  11   4   4   +0.0000000e+00
  3   8   7  12   4   4   +0.0000000e+00
  3   8   8   9   4   4   +7.0710677e-01
  3   8   9   9   4   4   +0.0000000e+00
  3   9   7  11   4   4   +0.0000000e+00
  3   9   7  12   4   4   +0.0000000e+00
  3   9   8   9   4   4   +0.0000000e+00
  3   9   9   9   4   4   -1.0000000e+00
  5   7   7  11   4   4   +7.0710677e-01
  5   7   7  12   4   4   +0.0000000e+00
  5   7   8   9   4   4   +0.0000000e+00
  5   7   9   9   4   4   +0.0000000e+00
  6   7   7  11   4   4   +0.0000000e+00
  6   7   7  12   4   4   -7.0710677e-01
  6   7   8   9   4   4   +0.0000000e+00
  6   7   9   9   4   4   +0.0000000e+00
  1   9   7   9   4   4   -7.0710677e-01
  3   7   7   9   4   4   +7.0710677e-01
  1  12   7  12   6   6   -7.0710677e-01
  3   9   7  12   6   6   +0.0000000e+00
  6   7   7  12   6   6   +7.0710677e-01
